WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8001
 * Running on http://192.168.1.4:8001
Press CTRL+C to quit
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/css/sz_styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/images/profile/68e1b19c6da045d7af82822fa4dd505a.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/manifest.json HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/js/push.js?v=1784112121 HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/js/planeamento_limpezas.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/js/ui.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /static/icons/icon-180.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "GET /generic/api/planner2_teams?date=2026-07-15 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 11:46:05] "POST /api/widgets/FATURACAO_ANUAL/run HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 11:46:06] "GET /generic/api/cleaning_plan?date=2026-07-15 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 11:46:06] "POST /generic/api/osm_distances HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 11:46:07] "GET /service-worker.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:31] "GET /reservas?checkin=2026-08-11&checkout=2026-08-13&adultos=2&criancas=2&bebes=0&q=&lang=en HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 12:01:31] "GET /static/css/booking_portal.css?v=1784112121 HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:31] "GET /static/images/booking_portal/portobreak-logo-current.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:32] "GET /service-worker.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:34] "GET /reservas?checkin=2026-08-11&checkout=2026-08-13&adultos=2&criancas=2&bebes=0&q=&lang=en HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 12:01:34] "GET /static/css/booking_portal.css?v=1784112121 HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:34] "GET /static/images/booking_portal/portobreak-logo-current.png HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:35] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:01:36] "GET /service-worker.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:02:58] "GET /reservas/9658DA0F-F55C-4C69-B221-5?checkin=2026-08-11&checkout=2026-08-13&adultos=2&criancas=2&bebes=0&lang=en HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 12:02:58] "GET /static/css/booking_portal.css?v=1784112121 HTTP/1.1" 304 -
127.0.0.1 - - [15/Jul/2026 12:02:58] "GET /static/images/booking_portal/portobreak-logo-simple.png HTTP/1.1" 304 -
